P/E,E/P,P/B,P/S,P/CF,L/A,NetDebt / EBITDA,EV / EBITDA,ROA,ROE,ROS,delta
7.5,13.34,0.73,,4.66,73.32,,,2.61,9.77,,15.315315315315313
7.72,12.95,3.11,0.3,5.68,80.41,,,5.91,24.74,3.87,-21.95121951219512
4.22,23.68,2.41,0.2,2.95,84.32,,,7.67,35.3,4.73,62.03125000000001
12.3,8.13,4.0,0.35,7.65,84.03,-1.33,5.0,4.35,19.64,2.81,28.479588556734157
12.96,7.72,4.5,0.39,8.09,84.1,-1.81,5.13,5.0,23.95,3.03,4.5784338253690215
10.81,9.25,3.25,0.38,7.69,80.95,-1.51,4.86,5.72,30.03,3.51,-2.392344497607657
5.49,18.23,0.87,0.34,1.71,66.73,,,5.82,60.16,6.28,-51.19047619047619
-1.54,-64.86,0.85,0.31,0.96,79.44,,,0.0,-104.47,-19.86,5.951219512195127
4.52,22.13,0.85,0.31,1.36,80.99,,,3.82,37.76,6.83,-44.19889502762431
12.77,7.83,0.54,0.17,0.86,80.35,,,0.82,7.46,1.31,-2.1452145214521434
-1.72,-58.13,0.93,0.16,0.83,89.2,,,0.0,-54.17,-9.44,-35.49747048903878
15.65,6.39,1.45,,3.42,89.74,,,0.0,0.0,0.0,9.041095890410954
62.96,1.59,1.03,,4.42,92.36,,,0.17,2.52,,12.587939698492455
9.84,10.16,1.03,,2.68,93.41,,,0.78,11.78,,8.145503235884854
6.34,15.78,0.74,,2.19,90.59,,,1.2,20.02,,2.146099876186547
13.84,7.23,0.47,0.83,2.65,29.81,,,2.52,3.41,5.97,261.875
-10.06,-9.94,2.19,2.57,7.44,64.02,,,0.0,-16.88,-25.51,169.48762233736326
9.58,10.43,4.0,4.46,10.0,59.94,0.28,6.69,19.06,61.55,46.54,-15.61888485366374
5.29,18.91,-20.05,3.09,7.02,107.31,2.11,7.52,26.61,63.85,58.35,9.56029043920321
8.01,12.49,15.3,3.64,8.74,89.83,1.79,7.61,20.19,0.0,45.49,-4.402079722703645
-5.36,-18.66,2.72,1.82,-508.66,68.02,14.15,41.49,0.0,,-34.04,-22.783783783783782
-84.79,-1.18,3.45,0.82,9.92,84.94,5.67,10.76,0.0,-2.48,-0.97,-24.22121106055304
8.09,12.36,3.24,0.52,3.33,89.14,4.15,6.39,4.6,32.32,6.43,42.0323325635104
6.53,15.31,2.33,0.96,7.8,77.17,5.66,10.83,7.9,70.54,14.77,-18.63414634146342
5.33,18.76,1.47,0.65,4.22,71.83,3.61,6.68,7.94,35.63,12.26,12.909672262190242
-0.31,-324.26,0.13,0.46,0.95,40.31,3.77,4.55,0.0,-29.34,-148.62,15.3169014084507
-4.05,-24.67,0.15,0.47,0.96,38.7,2.97,3.75,0.0,-2.57,-11.71,142.29007633587787
4.59,21.8,0.33,1.08,2.25,37.75,2.43,4.36,4.05,5.51,23.58,6.805293005671076
3.16,31.65,0.3,0.85,1.72,33.61,1.9,3.76,6.0,8.55,26.75,3.126843657817102
3.07,32.61,0.28,0.92,2.04,32.33,1.7,3.47,6.14,9.08,30.0,-14.759725400457679
-0.23,-443.38,0.81,0.08,0.0,94.13,,,0.0,0.0,-34.14,46.13333333333334
-0.25,-396.58,-0.23,0.14,5.8,139.39,,,0.0,0.0,-54.91,-13.625304136253046
-0.25,-398.41,-0.11,0.11,2.23,176.55,10.78,11.41,0.0,0.0,-45.28,148.6443661971831
